name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	233989	233989	0	30	30	-1	26970	26970	-1	7624	7624	-1	8425	8425	-1	25990	25990	-1	26510	26510	-1	t < 800 ms	71351	30	800 ms < t < 1200 ms	5303	2	t > 1200 ms	157335	67	failed	0	0	25	25	-1
Login	1660	1660	0	30	30	-1	18880	18880	-1	6971	6971	-1	5724	5724	-1	18030	18030	-1	18760	18760	-1	t < 800 ms	332	20	800 ms < t < 1200 ms	48	2	t > 1200 ms	1280	77	failed	0	0	0	0	-1
Login Redirect 1	1660	1660	0	30	30	-1	20670	20670	-1	7362	7362	-1	6074	6074	-1	18630	18630	-1	20030	20030	-1	t < 800 ms	336	20	800 ms < t < 1200 ms	40	2	t > 1200 ms	1284	77	failed	0	0	0	0	-1
Open Form	17735	17735	0	60	60	-1	26020	26020	-1	12321	12321	-1	7141	7141	-1	23150	23150	-1	25410	25410	-1	t < 800 ms	1258	7	800 ms < t < 1200 ms	675	3	t > 1200 ms	15802	89	failed	0	0	2	2	-1
Execute Daq	212934	212934	0	90	90	-1	26970	26970	-1	7240	7240	-1	8440	8440	-1	26080	26080	-1	26520	26520	-1	t < 800 ms	69425	32	800 ms < t < 1200 ms	4540	2	t > 1200 ms	138969	65	failed	0	0	23	23	-1
