name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1080521	1080521	0	30	30	-1	3080	3080	-1	856	856	-1	800	800	-1	2130	2130	-1	2260	2260	-1	t < 800 ms	696740	64	800 ms < t < 1200 ms	26367	2	t > 1200 ms	357414	33	failed	0	0	118	118	-1
Login	1660	1660	0	30	30	-1	3080	3080	-1	461	461	-1	595	595	-1	1740	1740	-1	2010	2010	-1	t < 800 ms	1262	76	800 ms < t < 1200 ms	115	6	t > 1200 ms	283	17	failed	0	0	0	0	-1
Login Redirect 1	1660	1660	0	30	30	-1	2120	2120	-1	447	447	-1	590	590	-1	1730	1730	-1	2000	2000	-1	t < 800 ms	1271	76	800 ms < t < 1200 ms	117	7	t > 1200 ms	272	16	failed	0	0	0	0	-1
Open Form	21580	21580	0	70	70	-1	2770	2770	-1	1188	1188	-1	837	837	-1	2220	2220	-1	2350	2350	-1	t < 800 ms	10125	46	800 ms < t < 1200 ms	641	2	t > 1200 ms	10814	50	failed	0	0	2	2	-1
Execute Daq	1055621	1055621	0	30	30	-1	2750	2750	-1	850	850	-1	799	799	-1	2130	2130	-1	2260	2260	-1	t < 800 ms	684082	64	800 ms < t < 1200 ms	25494	2	t > 1200 ms	346045	32	failed	0	0	115	115	-1
