name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	890762	890762	0	30	30	-1	3660	3660	-1	1253	1253	-1	1117	1117	-1	3010	3010	-1	3130	3130	-1	t < 800 ms	336862	37	800 ms < t < 1200 ms	249660	28	t > 1200 ms	304240	34	failed	0	0	97	97	-1
Login	1660	1660	0	30	30	-1	2990	2990	-1	713	713	-1	841	841	-1	2500	2500	-1	2770	2770	-1	t < 800 ms	1102	66	800 ms < t < 1200 ms	132	7	t > 1200 ms	426	25	failed	0	0	0	0	-1
Login Redirect 1	1660	1660	0	30	30	-1	2940	2940	-1	705	705	-1	845	845	-1	2490	2490	-1	2800	2800	-1	t < 800 ms	1110	66	800 ms < t < 1200 ms	129	7	t > 1200 ms	421	25	failed	0	0	0	0	-1
Open Form	21200	21200	0	60	60	-1	3390	3390	-1	1759	1759	-1	1140	1140	-1	3070	3070	-1	3180	3180	-1	t < 800 ms	4671	22	800 ms < t < 1200 ms	5064	23	t > 1200 ms	11465	54	failed	0	0	2	2	-1
Execute Daq	866242	866242	0	40	40	-1	3660	3660	-1	1243	1243	-1	1114	1114	-1	3010	3010	-1	3120	3120	-1	t < 800 ms	329979	38	800 ms < t < 1200 ms	244335	28	t > 1200 ms	291928	33	failed	0	0	94	94	-1
