name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	151668	150591	1077	30	30	30	478330	478330	379400	8921	8199	109965	0	0	0	41660	38610	353960	164620	130900	373210	t < 800 ms	87301	57	800 ms < t < 1200 ms	8081	5	t > 1200 ms	55209	36	failed	1077	0	16	16	0
Login	1660	1660	0	30	30	-1	94070	94070	-1	29708	29708	-1	0	0	-1	90180	90180	-1	92290	92290	-1	t < 800 ms	339	20	800 ms < t < 1200 ms	47	2	t > 1200 ms	1274	76	failed	0	0	0	0	-1
Login Redirect 1	1660	1660	0	30	30	-1	93930	93930	-1	31242	31242	-1	0	0	-1	87260	87260	-1	92440	92440	-1	t < 800 ms	340	20	800 ms < t < 1200 ms	36	2	t > 1200 ms	1284	77	failed	0	0	0	0	-1
Open Form	6791	6791	0	70	70	-1	478330	478330	-1	71175	71175	-1	0	0	-1	282050	282050	-1	413780	413780	-1	t < 800 ms	385	5	800 ms < t < 1200 ms	46	0	t > 1200 ms	6360	93	failed	0	0	1	1	-1
Execute Daq	135132	135131	1	90	90	157230	388330	388330	157230	3604	3603	157230	4297	4299	0	15510	15510	157230	71470	71450	157230	t < 800 ms	84971	62	800 ms < t < 1200 ms	7829	5	t > 1200 ms	42331	31	failed	1	0	15	15	0
Submit	5349	5349	0	50	50	-1	372420	372420	-1	30517	30517	-1	0	0	-1	113200	113200	-1	366680	366680	-1	t < 800 ms	1266	23	800 ms < t < 1200 ms	123	2	t > 1200 ms	3960	74	failed	0	0	1	1	-1
Open Form Redirect 1	1076	0	1076	30	-1	30	379400	-1	379400	109921	-1	109921	0	-1	0	353960	-1	353960	373210	-1	373210	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1076	100	0	-1	0
