name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	918318	918318	0	30	30	-1	2110	2110	-1	499	499	-1	531	531	-1	1360	1360	-1	1530	1530	-1	t < 800 ms	603123	65	800 ms < t < 1200 ms	157625	17	t > 1200 ms	157570	17	failed	0	0	100	100	-1
Login	1660	1660	0	30	30	-1	1510	1510	-1	280	280	-1	394	394	-1	1160	1160	-1	1310	1310	-1	t < 800 ms	1390	83	800 ms < t < 1200 ms	226	13	t > 1200 ms	44	2	failed	0	0	0	0	-1
Login Redirect 1	1660	1660	0	30	30	-1	1490	1490	-1	268	268	-1	389	389	-1	1140	1140	-1	1300	1300	-1	t < 800 ms	1393	83	800 ms < t < 1200 ms	226	13	t > 1200 ms	41	2	failed	0	0	0	0	-1
Open Form	14940	14940	0	70	70	-1	2110	2110	-1	856	856	-1	580	580	-1	1650	1650	-1	1800	1800	-1	t < 800 ms	7701	51	800 ms < t < 1200 ms	767	5	t > 1200 ms	6472	43	failed	0	0	2	2	-1
Execute Daq	886778	886778	0	30	30	-1	2020	2020	-1	490	490	-1	527	527	-1	1350	1350	-1	1500	1500	-1	t < 800 ms	586228	66	800 ms < t < 1200 ms	153988	17	t > 1200 ms	146562	16	failed	0	0	97	97	-1
Submit	13280	13280	0	60	60	-1	1900	1900	-1	739	739	-1	555	555	-1	1450	1450	-1	1600	1600	-1	t < 800 ms	6411	48	800 ms < t < 1200 ms	2418	18	t > 1200 ms	4451	33	failed	0	0	1	1	-1
